SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;
1513176482.230065;1513176482.230065;1513176482.232712;
1513176483.220887;1513176483.220887;1513176483.221004;
1513176484.221659;1513176484.221659;1513176484.222537;
1513176485.226989;1513176485.226989;1513176485.22839;
1513176486.220405;1513176486.220405;1513176486.220554;
1513176487.222458;1513176487.222458;1513176487.22438;
1513176488.221304;1513176488.221304;1513176488.221452;
1513176489.219207;1513176489.219207;1513176489.219356;
1513176490.222774;1513176490.222774;1513176490.222878;
1513176491.219974;1513176491.219974;1513176491.220146;
1513176492.225066;1513176492.225066;1513176492.226299;
