SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;t1;t2;t3;t4;v1;v2;v3;v4;t;s;scal;commandAcc;commandAcc2;commandV;commandV2;acctime;mindistance;maxdistance;averagedistance;desireda;mm;
1513176471.218653;1513176471.218653;1513176471.218769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176472.220454;1513176472.220454;1513176472.220576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176473.22561;1513176473.22561;1513176473.226601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176474.220998;1513176474.220998;1513176474.221344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176475.220184;1513176475.220184;1513176475.220288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176476.21889;1513176476.21889;1513176476.219026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176477.219355;1513176477.219355;1513176477.219498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176478.224867;1513176478.224867;1513176478.225014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176479.21951;1513176479.21951;1513176479.219846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176480.223907;1513176480.223907;1513176480.224015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176481.218565;1513176481.218565;1513176481.219129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1513176482.233393;1513176482.233393;1513176482.23508;7.494496942755445;14.023078;14.023078;0;11.69972203416825;7.132716946565843;11.11111111111111;11.11111111111111;14.023078;130.1229833173583;130.1229833173583;0;0;0;0;0.2943054615285705;155.8985934824633;163.9794989587745;159.9390462206189;0.6093811395863072;12;
1513176483.221117;1513176483.221117;1513176483.222279;6.851354424622211;13.022568;13.022568;0;11.61261824342995;6.560718899625822;11.11111111111111;11.11111111111111;13.022568;116.7843055546274;116.7843055546274;0;0;0;0;0.2507535661594193;144.7580773509417;151.1632333821654;147.9606553665535;0.737357758875931;12;
1513176484.223098;1513176484.223098;1513176484.223456;5.903369065395109;12.022682;12.022682;0;10.95509525731859;6.690009296043721;11.11111111111111;11.11111111111111;12.022682;106.5480953669716;106.5480953669716;0;0;0;0;0.07800792689626235;131.7157117951082;133.5792703188969;132.6474910570025;0.7224833673836052;12;
1513176485.229213;1513176485.229213;1513176485.229961;4.995495359757704;11.018218;11.018218;0;10.40451;6.968247510855436;11.11111111111111;11.11111111111111;11.018218;97.83624601262592;97.83624601262591;0;0;0;0;0.3533005555555553;114.7639806457359;122.2998231618886;118.5319019038122;0.687872221206754;12;
1513176486.222312;1513176486.222312;1513176486.222463;3.890707966377621;10.023348;10.023348;0;9.636007320000001;7.076073343783202;11.11111111111111;11.11111111111111;10.023348;88.2786404301431;88.2786404301431;0;0;0;0;0.7375518955555549;97.12903749754497;110.8265505346957;103.9777940161204;0.6579609670885125;12;
