SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;acceleration;steering;isValid;
1513176470.886608;1513176470.886608;1513176470.886731;-0.00125;0;1;
1513176470.89299;1513176470.89299;1513176470.893222;-0.00125;-0.00112766;1;
1513176470.903314;1513176470.903314;1513176470.90373;-0.00125;-0.002253065;1;
1513176470.912857;1513176470.912857;1513176470.913022;-0.00125;-0.00337622;1;
1513176470.928778;1513176470.928778;1513176470.929123;-1.678347;-0.004497128;1;
1513176470.9327;1513176470.9327;1513176470.932838;-1.68255;-0.005615794;1;
1513176470.943313;1513176470.943313;1513176470.943419;-1.686753;-0.006748711;1;
1513176470.952672;1513176470.952672;1513176470.952796;-1.690956;-0.007879362;1;
1513176470.963218;1513176470.963218;1513176470.963334;-1.69516;-0.009007753;1;
1513176470.97267;1513176470.97267;1513176470.972789;-1.706993;-0.01013389;1;
1513176470.983043;1513176470.983043;1513176470.983148;-1.711215;-0.01125777;1;
1513176470.992648;1513176470.992648;1513176470.992825;-1.715437;-0.0123794;1;
1513176471.003466;1513176471.003466;1513176471.003551;-1.71966;-0.01349879;1;
1513176471.01262;1513176471.01262;1513176471.01271;-1.731728;-0.01342602;1;
1513176471.022715;1513176471.022715;1513176471.022876;-1.73597;-0.01335339;1;
1513176471.032662;1513176471.032662;1513176471.032722;-1.740213;-0.01328092;1;
1513176471.042663;1513176471.042663;1513176471.042761;-1.744455;-0.01320858;1;
1513176471.054407;1513176471.054407;1513176471.054509;-1.748697;-0.01313639;1;
1513176471.062691;1513176471.062691;1513176471.062792;-1.752939;-0.01306421;1;
1513176471.072672;1513176471.072672;1513176471.07277;-1.777997;-0.01299217;1;
1513176471.08277;1513176471.08277;1513176471.082872;-1.782292;-0.01292027;1;
1513176471.092844;1513176471.092844;1513176471.092941;-1.786586;-0.01284852;1;
1513176471.102847;1513176471.102847;1513176471.102948;-1.79088;-0.01277691;1;
1513176471.113015;1513176471.113015;1513176471.113116;-1.803355;-0.01270545;1;
1513176471.123454;1513176471.123454;1513176471.123514;-1.80767;-0.01263412;1;
1513176471.133122;1513176471.133122;1513176471.133224;-1.811985;-0.01256392;1;
1513176471.142674;1513176471.142674;1513176471.142737;-1.823757;-0.01249386;1;
1513176471.154443;1513176471.154443;1513176471.160693;-1.82809;-0.01242394;1;
1513176471.165768;1513176471.165768;1513176471.16639;-1.832423;-0.01235416;1;
1513176471.173202;1513176471.173202;1513176471.173799;-1.843736;-0.01228452;1;
1513176471.189629;1513176471.189629;1513176471.190365;-1.848087;-0.01221502;1;
1513176471.194382;1513176471.194382;1513176471.195417;-1.852437;-0.01214566;1;
1513176471.203456;1513176471.203456;1513176471.203908;-1.856788;-0.01207643;1;
1513176471.213779;1513176471.213779;1513176471.213974;-1.861007;-0.01200735;1;
1513176471.223566;1513176471.223566;1513176471.223721;3;-0.0119384;1;
1513176471.233045;1513176471.233045;1513176471.233158;3;-0.01186959;1;
1513176471.24882;1513176471.24882;1513176471.248927;3;-0.01180092;1;
1513176471.260853;1513176471.260853;1513176471.26096;3;-0.01173239;1;
1513176471.265215;1513176471.265215;1513176471.265767;3;-0.01166399;1;
1513176471.278615;1513176471.278615;1513176471.278716;3;-0.01159573;1;
1513176471.286227;1513176471.286227;1513176471.286565;3;-0.01152761;1;
1513176471.292744;1513176471.292744;1513176471.292891;3;-0.01146026;1;
1513176471.30298;1513176471.30298;1513176471.30324;3;-0.01139305;1;
1513176471.312664;1513176471.312664;1513176471.312767;3;-0.01132598;1;
1513176471.322681;1513176471.322681;1513176471.322783;3;-0.01125904;1;
1513176471.33281;1513176471.33281;1513176471.332916;3;-0.01119219;1;
1513176471.343209;1513176471.343209;1513176471.343968;3;-0.01112547;1;
1513176471.352845;1513176471.352845;1513176471.353967;3;-0.01105889;1;
1513176471.362843;1513176471.362843;1513176471.362966;3;-0.01099244;1;
1513176471.373545;1513176471.373545;1513176471.373723;3;-0.01092612;1;
1513176471.383319;1513176471.383319;1513176471.383381;3;-0.01085994;1;
1513176471.392682;1513176471.392682;1513176471.392745;3;-0.01079389;1;
1513176471.402732;1513176471.402732;1513176471.402825;3;-0.01072797;1;
1513176471.412811;1513176471.412811;1513176471.41291;3;-0.01066285;1;
1513176471.423149;1513176471.423149;1513176471.423211;3;-0.01059787;1;
1513176471.433056;1513176471.433056;1513176471.433126;3;-0.01053301;1;
1513176471.442841;1513176471.442841;1513176471.442913;3;-0.01046828;1;
1513176471.452798;1513176471.452798;1513176471.452911;3;-0.01040368;1;
1513176471.462816;1513176471.462816;1513176471.462921;3;-0.01033921;1;
1513176471.473927;1513176471.473927;1513176471.473987;3;-0.01027487;1;
1513176471.482821;1513176471.482821;1513176471.482893;3;-0.01021066;1;
1513176471.492874;1513176471.492874;1513176471.492969;3;-0.01014733;1;
1513176471.502867;1513176471.502867;1513176471.50298;3;-0.01008412;1;
1513176471.513027;1513176471.513027;1513176471.513137;3;-0.01002104;1;
1513176471.523499;1513176471.523499;1513176471.523572;3;-0.009958085;1;
1513176471.532682;1513176471.532682;1513176471.532794;3;-0.009895255;1;
