SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;groundSpeed;
1513176470.92195;1513176470.92195;1513176470.922117;3.3626;
1513176470.961952;1513176470.961952;1513176470.962123;3.4017;
1513176471.006794;1513176471.006794;1513176471.006886;3.41343;
1513176471.065088;1513176471.065088;1513176471.065153;3.46426;
1513176471.101654;1513176471.101654;1513176471.102143;3.4799;
1513176471.136639;1513176471.136639;1513176471.136742;3.49554;
1513176471.164804;1513176471.164804;1513176471.165039;3.51509;
1513176471.228745;1513176471.228745;1513176471.228854;3.53464;
1513176471.250884;1513176471.250884;1513176471.250946;3.56592;
1513176471.323671;1513176471.323671;1513176471.323739;3.61675;
1513176471.359341;1513176471.359341;1513176471.359404;3.64412;
1513176471.410335;1513176471.410335;1513176471.410465;3.65976;
1513176471.439136;1513176471.439136;1513176471.4393;3.66367;
1513176471.470065;1513176471.470065;1513176471.470233;3.67149;
1513176471.487547;1513176471.487547;1513176471.487609;3.67149;
1513176471.510351;1513176471.510351;1513176471.510458;3.67931;
1513176471.52542;1513176471.52542;1513176471.525501;3.72232;
1513176471.601897;1513176471.601897;1513176471.602003;3.7536;
1513176471.616686;1513176471.616686;1513176471.616849;3.79661;
1513176471.645618;1513176471.645618;1513176471.645725;3.79661;
1513176471.722066;1513176471.722066;1513176471.722174;4.11332;
1513176471.732461;1513176471.732461;1513176471.732616;4.12505;
1513176471.803552;1513176471.803552;1513176471.803653;4.23453;
1513176471.833888;1513176471.833888;1513176471.833993;4.25408;
1513176471.878286;1513176471.878286;1513176471.878414;4.273630000000001;
1513176471.900204;1513176471.900204;1513176471.900315;4.250170000000001;
1513176471.952433;1513176471.952433;1513176471.952565;4.34792;
1513176471.988098;1513176471.988098;1513176471.988159;4.40266;
1513176472.011415;1513176472.011415;1513176472.011476;4.40266;
1513176472.10228;1513176472.10228;1513176472.103171;4.53169;
1513176472.243922;1513176472.243922;1513176472.24495;4.64508;
1513176472.297457;1513176472.297457;1513176472.298151;4.66854;
1513176472.332203;1513176472.332203;1513176472.332325;4.68027;
1513176472.361757;1513176472.361757;1513176472.361865;4.71155;
1513176472.468567;1513176472.468567;1513176472.46867;4.848400000000001;
1513176472.502245;1513176472.502245;1513176472.502441;4.8093;
1513176472.5618;1513176472.5618;1513176472.562378;4.93051;
1513176472.594296;1513176472.594296;1513176472.594408;4.93442;
1513176472.834675;1513176472.834675;1513176472.834806;5.11819;
1513176472.962003;1513176472.962003;1513176472.962171;5.30978;
1513176472.980394;1513176472.980394;1513176472.980504;5.294140000000001;
1513176473.182741;1513176473.182741;1513176473.186285;5.44272;
1513176473.2282;1513176473.2282;1513176473.228369;5.43881;
1513176473.290007;1513176473.290007;1513176473.290122;5.548290000000001;
1513176473.324749;1513176473.324749;1513176473.324878;5.61476;
1513176473.409246;1513176473.409246;1513176473.40941;5.76334;
1513176473.429019;1513176473.429019;1513176473.429124;5.77116;
1513176473.439346;1513176473.439346;1513176473.439459;5.76334;
1513176473.494139;1513176473.494139;1513176473.494292;5.802440000000001;
1513176473.539743;1513176473.539743;1513176473.539946;5.79853;
1513176473.676145;1513176473.676145;1513176473.676256;5.732060000000001;
1513176473.743793;1513176473.743793;1513176473.743901;5.70469;
1513176473.797744;1513176473.797744;1513176473.797863;5.60303;
1513176473.839519;1513176473.839519;1513176473.839635;5.54047;
1513176473.849448;1513176473.849448;1513176473.849552;5.52092;
1513176473.884193;1513176473.884193;1513176473.884314;5.49746;
1513176473.927766;1513176473.927766;1513176473.927886;5.46618;
1513176473.97453;1513176473.97453;1513176473.974637;5.43881;
1513176473.984834;1513176473.984834;1513176473.985286;5.434900000000001;
1513176474.01791;1513176474.01791;1513176474.018017;5.43881;
1513176474.029533;1513176474.029533;1513176474.029639;5.42708;
1513176474.052143;1513176474.052143;1513176474.052261;5.40362;
1513176474.075097;1513176474.075097;1513176474.075207;5.3567;
1513176474.09369;1513176474.09369;1513176474.093801;5.352790000000001;
1513176474.268939;1513176474.268939;1513176474.269044;5.286320000000001;
1513176474.278748;1513176474.278748;1513176474.278878;5.2785;
1513176474.41741;1513176474.41741;1513176474.417568;5.251130000000001;
1513176474.443903;1513176474.443903;1513176474.444066;5.23549;
1513176474.492561;1513176474.492561;1513176474.492709;5.239400000000001;
1513176474.498998;1513176474.498998;1513176474.4991;5.227670000000001;
1513176474.629872;1513176474.629872;1513176474.629983;5.215940000000001;
1513176474.721673;1513176474.721673;1513176474.721811;5.20812;
1513176474.801915;1513176474.801915;1513176474.803439;5.2003;
1513176474.987726;1513176474.987726;1513176474.987838;5.19639;
1513176475.032604;1513176475.032604;1513176475.032803;5.180750000000001;
1513176475.077385;1513176475.077385;1513176475.077504;5.16511;
1513176475.139186;1513176475.139186;1513176475.139307;5.133830000000001;
1513176475.161922;1513176475.161922;1513176475.162084;5.14165;
1513176475.180046;1513176475.180046;1513176475.180279;5.12601;
1513176475.221409;1513176475.221409;1513176475.221554;5.10646;
1513176475.267722;1513176475.267722;1513176475.267834;5.067360000000001;
1513176475.520331;1513176475.520331;1513176475.520438;5.032170000000001;
1513176475.628198;1513176475.628198;1513176475.628945;4.99307;
1513176475.650266;1513176475.650266;1513176475.650367;4.98134;
1513176475.669496;1513176475.669496;1513176475.669563;4.9657;
1513176475.703087;1513176475.703087;1513176475.70426;4.93442;
1513176475.728929;1513176475.728929;1513176475.729036;4.89923;
1513176476.027861;1513176476.027861;1513176476.027969;5.12992;
1513176476.049456;1513176476.049456;1513176476.049925;5.12992;
1513176476.061213;1513176476.061213;1513176476.061319;5.18466;
1513176476.069796;1513176476.069796;1513176476.069903;5.21985;
