SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;
1513353110.831075;1513353110.831075;1513353110.831115;
1513353112.831414;1513353112.831414;1513353112.831458;
1513353114.831724;1513353114.831724;1513353114.831762;
1513353116.832012;1513353116.832012;1513353116.832053;
1513353118.832309;1513353118.832309;1513353118.832346;
1513353120.833285;1513353120.833285;1513353120.833354;
1513353122.833612;1513353122.833612;1513353122.833649;
1513353124.833977;1513353124.833977;1513353124.834049;
1513353126.834305;1513353126.834305;1513353126.834344;
1513353128.834623;1513353128.834623;1513353128.834666;
1513353130.834924;1513353130.834924;1513353130.834971;
1513353132.835255;1513353132.835255;1513353132.835306;
1513353134.835568;1513353134.835568;1513353134.835612;
1513353136.835917;1513353136.835917;1513353136.83596;
1513353138.836227;1513353138.836227;1513353138.836285;
1513353140.836578;1513353140.836578;1513353140.836625;
1513353142.836912;1513353142.836912;1513353142.836974;
1513353144.837595;1513353144.837595;1513353144.83766;
1513353146.838251;1513353146.838251;1513353146.838362;
1513353148.838646;1513353148.838646;1513353148.838711;
1513353150.839332;1513353150.839332;1513353150.839398;
