SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;
1513353122.714897;1513353122.714897;1513353122.714959;
1513353123.714433;1513353123.714433;1513353123.71447;
1513353124.714562;1513353124.714562;1513353124.714627;
1513353125.714569;1513353125.714569;1513353125.714632;
1513353126.714659;1513353126.714659;1513353126.714785;
1513353127.714341;1513353127.714341;1513353127.714379;
1513353128.714561;1513353128.714561;1513353128.714624;
1513353129.715013;1513353129.715013;1513353129.71507;
1513353130.714651;1513353130.714651;1513353130.714712;
1513353131.715196;1513353131.715196;1513353131.715277;
1513353132.714553;1513353132.714553;1513353132.71462;
