SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;acceleration;steering;isValid;
1513353114.555572;1513353114.555572;1513353114.555613;3;-0.5476022;1;
1513353114.565567;1513353114.565567;1513353114.56561;3;-0.5476906;1;
1513353114.575563;1513353114.575563;1513353114.5756;3;-0.5477771;1;
1513353114.585567;1513353114.585567;1513353114.585605;3;-0.5478619;1;
1513353114.595565;1513353114.595565;1513353114.595601;3;-0.547945;1;
1513353114.605565;1513353114.605565;1513353114.605603;3;-0.5480265;1;
1513353114.61556;1513353114.61556;1513353114.615596;3;-0.5481063;1;
1513353114.625582;1513353114.625582;1513353114.625618;3;-0.5481845;1;
1513353114.635566;1513353114.635566;1513353114.635604;3;-0.5482612;1;
1513353114.645554;1513353114.645554;1513353114.645593;3;-0.5483363;1;
1513353114.655568;1513353114.655568;1513353114.655606;3;-0.5484099;1;
1513353114.665564;1513353114.665564;1513353114.6656;3;-0.5484821;1;
1513353114.675567;1513353114.675567;1513353114.675605;3;-0.5485528;1;
1513353114.685577;1513353114.685577;1513353114.685615;3;-0.5486221;1;
1513353114.695551;1513353114.695551;1513353114.69559;3;-0.54869;1;
1513353114.705564;1513353114.705564;1513353114.7056;3;-0.5487566;1;
1513353114.71556;1513353114.71556;1513353114.715595;3;-0.5488218;1;
1513353114.725561;1513353114.725561;1513353114.725597;3;-0.5488858;1;
1513353114.73556;1513353114.73556;1513353114.735597;3;-0.5489484;1;
1513353114.745632;1513353114.745632;1513353114.74567;3;-0.5490098;1;
1513353114.755563;1513353114.755563;1513353114.755598;3;-0.5490699;1;
1513353114.765571;1513353114.765571;1513353114.76561;3;-0.5491289;1;
1513353114.775565;1513353114.775565;1513353114.7756;3;-0.5491866;1;
1513353114.785565;1513353114.785565;1513353114.785605;3;-0.5492433;1;
1513353114.795543;1513353114.795543;1513353114.795584;3;-0.5492988;1;
1513353114.805568;1513353114.805568;1513353114.805615;3;-0.5493532;1;
1513353114.815575;1513353114.815575;1513353114.815613;3;-0.5494065;1;
1513353114.825569;1513353114.825569;1513353114.825608;3;-0.5494587;1;
1513353114.835569;1513353114.835569;1513353114.835606;3;-0.5495099;1;
1513353114.84557;1513353114.84557;1513353114.845608;3;-0.54956;1;
1513353114.85555;1513353114.85555;1513353114.855589;3;-0.5496092;1;
1513353114.86553;1513353114.86553;1513353114.865568;3;-0.5496573;1;
1513353114.875559;1513353114.875559;1513353114.875596;3;-0.5497046;1;
1513353114.885559;1513353114.885559;1513353114.885595;3;-0.5497508;1;
1513353114.895535;1513353114.895535;1513353114.895573;3;-0.5497962;1;
1513353114.905573;1513353114.905573;1513353114.905612;3;-0.5498406;1;
1513353114.915833;1513353114.915833;1513353114.915921;3;-0.5498841;1;
1513353114.925598;1513353114.925598;1513353114.925648;3;-0.5499268;1;
1513353114.935571;1513353114.935571;1513353114.93561;3;-0.5499687;1;
1513353114.945565;1513353114.945565;1513353114.945604;3;-0.5500096;1;
1513353114.955582;1513353114.955582;1513353114.955634;3;-0.5500498;1;
1513353114.965595;1513353114.965595;1513353114.965638;3;-0.5500891;1;
1513353114.975568;1513353114.975568;1513353114.975606;3;-0.5501277;1;
1513353114.985597;1513353114.985597;1513353114.985635;3;-0.5501655;1;
1513353114.995557;1513353114.995557;1513353114.995602;3;-0.5502025;1;
1513353115.005587;1513353115.005587;1513353115.005631;3;-0.5502388;1;
1513353115.015566;1513353115.015566;1513353115.015606;3;-0.5502744;1;
1513353115.025571;1513353115.025571;1513353115.02561;3;-0.5503093;1;
1513353115.03555;1513353115.03555;1513353115.03559;3;-0.5503435;1;
1513353115.045575;1513353115.045575;1513353115.045614;3;-0.550377;1;
1513353115.055574;1513353115.055574;1513353115.055614;3;-0.5504098;1;
